APN,New AIN,Old AIN
4265017031,4265-017-207,4265-017-031*
4265017032,4265-017-207,4265-017-032*
4265017034,,
4265017049,4265-017-208,4265-017-049*
4265021035,,
4267029014,,
4267030003,4267-030-030,4267-030-003*
4267034013,4267-034-127,4267-034-013*
4267034100,4267-034-100,
4267034101,4267-034-101,
4267036009,,
4286001009,,
4286007006,,
4286007007,,
4286010018,,
4286015017,,
4286019003,,
4286019019,,
4286021005,,
4286021011,,
4286021019,,
4286030009,,
4288028021,,
4294005053,,
4301005023,,
4301005031,,
4301007025,,
4302018013,,
4302019012,,
4302019013,,
4302019016,,
4302022006,4302-022-027,4302-022-006*
4302023007,,
4302032012,,
4302034017,,
4303002016,,
4303002017,,
4303003017,,
4303003030,,
4303006005,,
4303011033,,
4303012014,4303-012-097,4303-012-014*
4303012059,4303-012-102,4303-012-059*
4303012060,4303-012-102,4303-012-060*
4303018010,4303-018-039,4303-018-010*
4303018026,4303-018-040,4303-018-026*
4303018027,4303-018-040,4303-018-027*
4303019024,,
4303030001,,
4303032017,,
4305014014,,
4306002008,4306-002-024,4306-002-008*
4306002009,4306-002-024,4306-002-009*
4306002010,4306-002-024,4306-002-010*
4306003009,4306-003-049,4306-003-009*
4306003010,,
4306008024,,
4306009021,4306-009-045,4306-009-021*
4306015027,4306-015-060,4306-015-027*
4311017033,,
4311022011,,
4311024013,4311-024-034,4311-024-013*
4311025039,4311-025-039,4311-025-039*
4311025040,4311-025-039,4311-025-040*
4311026007,,
4311027012,,
4311032028,,
4312003032,,
4312011006,4312-011-039,4312-011-006*
4312011007,4312-011-039,4312-011-007*
4312017035,,
4312020025,4312-019-018,4312-020-025*
4313003029,,
4313006003,4313-006-042,4313-006-003*
4313006040,4313-006-039,4313-006-040*
4313009028,4313-009-140,4313-009-028*
4313009034,4313-009-140,4313-009-034*
4313014022,,
4313015016,,
4313016025,4313-016-049,4313-016-025*
4313016027,4313-016-049,4313-016-027*
4313017020,,
4313020033,,
4314004009,4314-004-038,4314-004-009*
4314005015,4314-005-041,4314-005-015*
4314008015,,
4314008029,4314-008-051,4314-008-029*
4314009015,,
4314010014,,
4314010015,,
4314010022,,
4314010076,4314-010-076,
4314010090,4314-010-090,4314-010-090*
4314011049,4314-011-049,4314-011-049*
4314011050,4314-011-050,4314-011-050*
4314013010,4314-013-031,4314-013-010*
4314017003,4314-017-028,4314-017-003*
4314017004,4314-017-028,4314-017-004*
4314017006,4314-017-028,4314-017-006*
4314018019,4314-018-022,4314-018-019*
4314018020,4314-018-022,4314-018-020*
4314022036,,
4314023024,,
4315012002,4315-012-066,4315-012-002*
4315014001,4315-014-089,4315-014-001*
4315014028,4315-014-094,4315-014-028*
4315014029,4315-014-094,4315-014-029*
4315016006,,
4315017036,4315-017-082,4315-017-036*
4315017037,4315-017-082,4315-017-037*
4315018048,,
4317001005,4317-001-174,4317-001-005*
4317001016,,
4317002005,,
4317002006,,
4317002007,,
4317002025,,
4317002026,,
4317004013,4317-004-135,4317-004-013*
4317004016,,
4317012061,,
4317012062,,
4318002024,,
4318005024,,
4319009031,,
4319009032,,
4319009033,,
4319009034,,
4319009035,,
4319009051,,
4320002028,4320-002-063,4320-002-028*
4320002029,4320-002-064,4320-002-029*
4321004009,4321-004-174,4321-004-009*
4321004010,4321-004-174,4321-004-010*
4321004026,4321-004-173,4321-004-026*
4321005052,4321-005-083,4321-005-052*
4321005055,,
4321008017,4321-008-145,4321-008-017*
4321008018,4321-008-145,4321-008-018*
4321008025,,
4321010039,4321-010-188,4321-010-039*
4322001015,4322-001-022,4322-001-015*
